year,Preparation,"p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s",O2 conversion,CH4 conversion,COx selectivity,C2H6 selectivity,C2H4 selectivity,C2 selectivity,C2 yield,Ag,Al,Au,B,Ba,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Ho,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,Sb,Sc,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr,Temperature_C
2017,Impregnation,0.5,0.1,5,1,0.164856,,34.4073,,,,71.2462,24.51389377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125483441,0,2.11486291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.2843,0,0,0,0,0,0,0,1.432362,0,0,0,1.057431455,0,0,0,0,720
1988,n.a.,0.218999997,0.108999997,2.009174109,1.013000011,2.432,90,25,2,67,31,98,24.5,0,0,0,0,0,0,0,0,0,0,0.600000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79999924,0,79.59999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
2019,Impregnation,0.66,0.33,2,1,0.08276,98.9,49.5,50.5,34.72941176,14.47058824,49.2,24.354,0,0,0,0,0,0,0,0,0,0,4.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.968,0,0,0,1.421,0,0,0,0,800
2011,Impregnation,0.18,0.06,3,0.3,0.2279924,99.1,37,34.3,,,65.7,24.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,730
2000,Impregnation,0.093999997,0.023,4.086956978,1.013000011,0.45,,25,,,,97,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89999962,0,87.09999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899.85
2014,SCS,,,2,1,0.41745,,,,,,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.306522,0,0,0,5.831378,0,4.361526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.31981,0,0,0,0,0,0,0,0,0,0,0,2.180763,0,0,0,0,781.8008
2008,Impregnation,0.400000006,0.200000003,2,1.013000011,0.6,,47,,,,51,23.97,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70000076,0,0,0,0,30.70000076,0,0,0,0,0,0,0,0,799.85
2019,Impregnation,0.66,0.33,2,1,0.08453,98.4,46.8,48.5,35.2,16,51.2,23.9616,0,0,0,0,0,0,0,0,0,0,1.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.687,0,0,0,1.384,0,0,0,0,800
2011,Solid-phase technique,0.714285714,0.285714286,2.5,1,0.1317,81,42,39,38,19,57,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249316796,0,0,0,0,0,0,0,0,0,0,2.10216523,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,844
1993,Sol-gel,0.545000017,0.181999996,2.994504929,1.013000011,0.1,,36.79999924,,,,64.90000153,23.88320007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.700000048,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1.299999952,0,0,0,0,799.85
2011,Impregnation,0.2025,0.0675,3,0.3,0.2279924,100,36.6,34.8,,,65.2,23.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,700
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.063296756,,39.7,,40.71290323,19.38709677,60.1,23.8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.268756604,0,2.897146883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.05917577,0,0,0,0,0,0,0,0,0,0,0,0.774920747,0,0,0,0,841
2011,Solid-phase technique,0.666666667,0.333333333,2,1,0.146866667,97,45,47,36,17,53,23.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249316796,0,2.10216523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,902
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.062542809,,42.5,,37.4,18.7,56.1,23.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.257200035,0,3.088836683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.00948403,0,0,0,0,0,0,0,0,0,0,0,1.644479248,0,0,0,0,848
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.062932445,,42.8,,37.73225806,17.96774194,55.7,23.8396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.073134079,0,6.862581399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.48639172,0,0,0,0,0,0,0,0,0,0,0,1.577892803,0,0,0,0,840
1989,n.a.,0.333000004,0.166999996,1.994011998,1.013000011,0.39,,35,,,,68,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.85
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.062958349,,42.56,,37.86774194,18.03225806,55.9,23.79104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.067853663,0,3.056072283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.5818053,0,0,0,0,0,0,0,0,0,0,0,2.294268757,0,0,0,0,842
2011,Solid-phase technique,0.75,0.25,3,1,0.146866667,97,44,46,38,16,54,23.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249316796,0,2.10216523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,909
2019,Impregnation,0.75,0.25,3,1,0.08453,98.8,43.7,45.3,38.32941176,15.97058824,54.3,23.7291,0,0,0,0,0,0,0,0,0,0,1.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.687,0,0,0,1.384,0,0,0,0,800
2011,Impregnation,0.15,0.05,3,0.2,0.282021152,99.5,37,36,,,64,23.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,735
2011,Impregnation,0.225,0.75,3,0.3,0.2279924,99.6,36.2,34.9,,,65.1,23.5662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,700
2018,Impregnation,0.4,0.1,4,1,0.073386351,,35.03311,,,,67.16418,23.52970106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.225972071,0,2.081119488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6523487,0,0,0,0,0,0,0,0,0,0,0,1.040559744,0,0,0,0,800
1990,n.a.,0.027000001,0.014,1.928570986,1.013000011,2.4,,48,,29,20,49,23.52,0,0,0,0,5,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
2010,Impregnation,0.833333333,0.166666667,5,1,0.13,,33,,51.27777778,19.72222222,71,23.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.076280682,0,2.150918188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.69734204,0,0,0,0,0,0,0,0,0,0,0,1.075459094,0,0,0,0,800
2014,SCS,0.64,0.16,4,1,0.41745,,,,,,0,23.4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.306522,0,0,0,5.831377717,0,4.361525993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.31981139,0,0,0,0,0,0,0,0,0,0,0,2.180762996,0,0,0,0,800.447
2013,Impregnation,0.666666667,0.333333333,2,1,0.545454545,88.8,43.8,43.3,45.8,,53.3,23.3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.226,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65541491,0,0,0,0,0,0,0,0,0,0,0,1.041,0,0,0,0,800
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.059002011,,40.3,,37.15714286,20.64285714,57.8,23.2934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92929767,0,4.723916784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.21054278,0,0,0,0,0,0,0,0,0,0,0,3.136242766,0,0,0,0,837
2017,Impregnation,0.5,0.1,5,1,0.184889,,28.55238,,,,81.5126,23.2737873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125483441,0,2.11486291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.43068,0,0,0,0,0,0,0,2.368536,0,0,0,1.057431455,0,0,0,0,800
2014,SCS,0.64,0.16,4,1,0.41745,,,,,,0,23.14879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.306522,0,0,0,5.831377717,0,4.361525993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.31981139,0,0,0,0,0,0,0,0,0,0,0,2.180762996,0,0,0,0,781.8008
2017,Sol-gel,0.75,0.25,3,1,0.36,98.7,38.3,,42.56470588,17.73529412,60.3,23.0949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7325,2.226,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.185,0,0,0,0,0,0,0,4.7325,0,0,0,1.041,0,0,0,0,800
2019,Impregnation,0.8,0.2,4,1,0.08365,99.3,44.4,47.4,37.07142857,14.82857143,51.9,23.0436,0,0,0,0,0,0,0,0,0,0,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.853,0,0,0,1.402,0,0,0,0,800
2014,Impregnation,,,2,1,0.013333333,,44.7479,,37.60504,13.86555,51.47059,23.03200814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.53875,0,83.46125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2011,Impregnation,0.16,0.04,4,0.2,0.282021152,99.4,31.8,27.6,,,72.4,23.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,750
2019,Sol-gel,0.4,0.1,4,1,0.033086062,,33.12655,,,,69.45055,23.00657117,0,0,0,0,0,0,0,0,9.477756286,0,38.68471954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.83752418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.064184031,,39.2,,39.62903226,18.87096774,58.5,22.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.341068538,0,2.923187624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.94423457,0,0,0,0,0,0,0,0,0,0,0,0.791509264,0,0,0,0,841
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.125085618,97.61337,39.14081,,,,58.47255,22.8866297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.257200035,0,3.088836683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.00948403,0,0,0,0,0,0,0,0,0,0,0,1.644479248,0,0,0,0,820
1998,Impregnation,0.164000005,0.035999998,4.55555582,1.013000011,1.33,,44,,,,52,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.90000153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,849.85
2000,Impregnation,0.090000004,0.02,4.5,1.013000011,1.8,,44,,,42,52,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.19999695,0,0,0,0,0,0,0,0,0,0,0,0.600000024,0,0,0,0,849.85
2011,Solid-phase technique,0.75,0.25,3,1,0.146866667,96,44,48,36,16,52,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249316796,0,2.10216523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,899
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.061984327,,41.5,,36.03448276,18.96551724,55,22.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.378728923,0,2.939904885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.46779075,0,0,0,0,0,0,0,0,0,0,0,2.213575443,0,0,0,0,838
2014,SCS,0.64,0.16,4,1,0.41745,,,,,,0,22.62976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.306522,0,0,0,5.831377717,0,4.361525993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.31981139,0,0,0,0,0,0,0,0,0,0,0,2.180762996,0,0,0,0,783.3333
2011,Solid-phase technique,0.705882353,0.294117647,2.4,1,0.146333333,90,39,38,42,16,58,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10216523,0,0,0,0,2.249316796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,895
